Classe,Número,Link,Url,Relator Atual,Nome Ministro (a),Tipo Decisão,Orgão Julgador,Data Autuação,Indicador de  Processo em Tramitação,Data Baixa,Subgrupo Andamento Comissão,Andamento,Observação Andamento,Ramo Direito Novo,Assuntos,Classificação,Origem:,Relator:,Redator do acórdão:,Relator do último incidente:,REQTE.(S),ADV.(A/S),INTDO.(A/S),PROC.(A/S)(ES)
ADI,6181,ADI-6181,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5723920,MIN. ALEXANDRE DE MORAES,MIN. ALEXANDRE DE MORAES,COLEGIADA,TRIBUNAL PLENO,25/6/2019,Sim,,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria, declarou a constitucionalidade da percepção de honorários de sucumbência pelos Procuradores do Estado de Alagoas e julgou parcialmente procedente o pedido formulado na ação direta para, conferindo interpretação conforme à Constituição ao art. 81, X, da Lei Complementar estadual 7/1991, e ao art. 7º, V, do Decreto 4.804/2010, ambos do Estado de Alagoas, estabelecer que a somatória dos subsídios e honorários de sucumbência percebidos mensalmente pelos Procuradores do Estado de Alagoas não poderá exceder ao teto dos Ministros do Supremo Tribunal Federal, conforme o que dispõe o art. 37, XI, da Constituição Federal, nos termos do voto do Relator, vencido o Ministro Marco Aurélio. O Ministro Roberto Barroso acompanhou o Relator com ressalvas. Falou, pelo interessado Governador do Estado de Alagoas, o Dr. Gentil Ferreira de Souza Neto, Procurador do Estado. Plenário, Sessão Virtual de 12.6.2020 a 19.6.2020.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | CATEGORIAS ES3 - DIREITO PROCESSUAL CIVIL E DO TRABALHO |  PARTES E PROCURADORES | SUCUMBÊNCIA  | HONORÁRIOS ADVOCATÍ",Decisões,,,,,,,,
ADI,6182,ADI-6182,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5725077,MIN. ROSA WEBER,MIN. ROSA WEBER,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,25/6/2019,Não,13/11/2020,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria, declarou a constitucionalidade da percepção de honorários de sucumbência pelos procuradores do Estado de Rondônia e julgou parcialmente procedente o pedido para, conferindo interpretação conforme à expressão ""e rateio de honorários das Procuradorias Autárquicas"", contida nos arts. 3º, § 2º, 6º e 9º da Lei Complementar nº 1.000/2018 do Estado de Rondônia, estabelecer a observância do teto constitucional previsto no art. 37, XI, da Constituição Federal no somatório total às demais verbas remuneratórias percebidas mensalmente pelos procuradores do Estado de Rondônia, nos termos do voto da Relatora, vencido o Ministro Marco Aurélio, que julgava procedente o pedido. O Ministro Roberto Barroso acompanhou a Relatora com ressalvas. Falou, pelo amicus curiae Associação Nacional dos Procuradores dos Estados e do Distrito Federal - ANAPE, o Dr. Vicente Martins Prata Braga. Plenário, Sessão Virtual de 9.10.2020 a 19.10.2020.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | CATEGORIAS ES3 - DIREITO PROCESSUAL CIVIL E DO TRABALHO |  PARTES E PROCURADORES | SUCUMBÊNCIA  | HONORÁRIOS ADVOCATÍ",Decisões,,,,,,,,
ADI,6182,ADI-6182,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5725082,MIN. ROSA WEBER,MIN. ROSA WEBER,MONOCRÁTICA,MIN. ROSA WEBER,25/6/2019,Não,13/11/2020,Decisão Interlocutória,Deferido,"Em 01.08.2019:(...) Defiro , pois, o pedido de ingresso no feito, na condição de amici curiae , facultadas, em decorrência, na forma do art. 138, § 2º, do Código de Processo Civil , a apresentação de informações e de memoriais, bem como a sustentação oral por ocasião do julgamento definitivo do mérito da presente ADI.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | CATEGORIAS ES3 - DIREITO PROCESSUAL CIVIL E DO TRABALHO |  PARTES E PROCURADORES | SUCUMBÊNCIA  | HONORÁRIOS ADVOCATÍ",Decisões,,,,,,,,
ADI,6182,ADI-6182,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5725082,MIN. ROSA WEBER,MIN. ROSA WEBER,MONOCRÁTICA,MIN. ROSA WEBER,25/6/2019,Não,13/11/2020,Decisão Interlocutória,Deferido,"Requerem a admissão no feito, na qualidade de amicus curiae , os Estados do Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, Sergipe, Tocantins e Distrito Federal, representados pelo Conselho Nacional dos Procuradores-Gerais dos Estados e do Distrito Federal ( petição 50.950/2019) e a Associação Nacional dos Procuradores dos Estados e do Distrito Federal ANAPE (petição 71.720/2019).
(...)
Defiro, pois, o pedido, facultadas, a apresentação de informações e de memoriais, bem como a sustentação oral por ocasião das sessões de julgamento.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | CATEGORIAS ES3 - DIREITO PROCESSUAL CIVIL E DO TRABALHO |  PARTES E PROCURADORES | SUCUMBÊNCIA  | HONORÁRIOS ADVOCATÍ",Decisões,,,,,,,,
ADI,6183,ADI-6183,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5725082,MIN. CÁRMEN LÚCIA,MIN. CÁRMEN LÚCIA,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,26/6/2019,Sim,,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria, julgou parcialmente procedente o pedido formulado na ação direta, para conferir interpretação conforme à expressão prêmio de produtividade disciplinado em regulamento posta no art. 3º da Lei nº 10.298/1994 do Rio Grande do Sul, aos arts. 1º e 2º do Decreto estadual nº 45.685/2008 e ao art. 4º do Decreto estadual nº 54.424/2018, para estabelecer que a soma dos subsídios e honorários de sucumbência percebidos mensalmente pelos Procuradores do Estado não deve exceder o teto remuneratório (inc. XI do art. 37 da Constituição da República), nos termos do voto da Relatora, vencido o Ministro Marco Aurélio, que julgava procedente o pedido. O Ministro Roberto Barroso acompanhou a Relatora com ressalvas. Falaram: pelo amicus curiae Associação dos Procuradores do Estado do Rio Grande do Sul - APERGS, o Dr. Rafael Da Cás Maffini; e, pelo amicus curiae Associação Nacional dos Procuradores dos Estados e do Distrito Federal - ANAPE, o Dr. Carlos Frederico Braga Marti",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | CATEGORIAS ES2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO |  PARTES E PROCURADORES | SUCUMBÊNCIA  | HONORÁRIOS ADVOCATÍ3 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE",Decisões,,,,,,,,
ADI,6183,ADI-6183,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5726068,MIN. CÁRMEN LÚCIA,MIN. CÁRMEN LÚCIA,MONOCRÁTICA,MIN. CÁRMEN LÚCIA,26/6/2019,Sim,,Decisão Interlocutória,Deferido,"""(...) o ingresso na presente ação direta de inconstitucionalidade como amici curiae de Conselho Federal da Ordem dos Advogados do Brasil –
CFOAB, Associação Nacional dos Procuradores dos Estados e do Distrito
Federal - ANAPE, Associação dos Procuradores do Estado do Rio Grande
do Sul - APERGS e os Estados do Acre, Alagoas, Amapá, Amazonas,
Bahia, Ceará, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, Sergipe, Tocantins e o Distrito Federal (...)"".",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | CATEGORIAS ES2 - DIREITO PROCESSUAL CIVIL E DO TRABALHO |  PARTES E PROCURADORES | SUCUMBÊNCIA  | HONORÁRIOS ADVOCATÍ3 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE",Decisões,,,,,,,,
ADI,6184,ADI-6184,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5726068,MIN. RICARDO LEWANDOWSKI,MIN. RICARDO LEWANDOWSKI,MONOCRÁTICA,MIN. RICARDO LEWANDOWSKI,27/6/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","Considerando a relevância da matéria, determino a aplicação do rito previsto no art. 12 da Lei 9.868/1999.

Solicitem-se as informações.

Após, abra-se vista à Advocacia-Geral da União e à Procuradoria-Geral da República, respectivamente, pelo prazo legal.

Publique-se.
",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | INTERVENÇÃO NO DOMÍNIO ECONÔMICO",Decisões,,,,,,,,
ADPF,599,ADPF-599,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5727040,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,MONOCRÁTICA,MIN. MARCO AURÉLIO,28/6/2019,Sim,,Decisão Interlocutória,Deferido,"""3. Admito a Confederação da Agricultura e Pecuária no Brasil –CNA como terceira interessada no processo, recebendo-o no estágio emque se encontra.4. Publiquem.Brasília, 1º de junho de 2020""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MEIO AMBIENTE | AGROTÓXICOS,Decisões,,,,,,,,
ADPF,599,ADPF-599,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5727410,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,MONOCRÁTICA,MIN. MARCO AURÉLIO,28/6/2019,Sim,,Decisão Interlocutória,Deferido,"""3. Admito o Partido Solidariedade como terceiro interessado noprocesso, recebendo-o no estágio em que se encontra.4. Publiquem.Brasília, 1º de junho de 2020""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MEIO AMBIENTE | AGROTÓXICOS,Decisões,,,,,,,,
ADPF,599,ADPF-599,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5727410,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,MONOCRÁTICA,MIN. MARCO AURÉLIO,28/6/2019,Sim,,Decisão Interlocutória,Deferido,"em 04.09.2020 ""(...) 3. Admito o Sindicato Nacional da Indústria de Produtos para Defesa Vegetal – Sindiveg como terceiro interessado no processo, recebendo-o no estágio em que se encontra.

4. Publiquem.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | MEIO AMBIENTE | AGROTÓXICOS,Decisões,,,,,,,,
ADI,6185,ADI-6185,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5727410,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,2/7/2019,Sim,,Decisão Final,Procedente,"Decisão: O Tribunal, por unanimidade, julgou procedente o pedido formulado na ação direta, para declarar a inconstitucionalidade do artigo 3º da Lei nº 19.929/2017 do Estado de Goiás, nos termos do voto do Relator. Os Ministros Edson Fachin, Cármen Lúcia, Alexandre de Moraes, Gilmar Mendes, Luiz Fux (Presidente) e Rosa Weber acompanharam o Relator com ressalvas. Falou, pelo amicus curiae, o Dr. Otávio Alves Forte. Plenário, Sessão Virtual de 9.10.2020 a 19.10.2020.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUN2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE",Decisões,,,,,,,,
ADI,6185,ADI-6185,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5729009,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,MONOCRÁTICA,MIN. MARCO AURÉLIO,2/7/2019,Sim,,Decisão Interlocutória,Deferido,"4/6/2020: ... Admito a Associação Goiana dos Advogados Públicos Autárquicos – AGAPA como terceira interessada no processo, recebendo-o no estágio em que se encontra.

4. Publiquem.
",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUN2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE",Decisões,,,,,,,,
ADI,6185,ADI-6185,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5729009,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,MONOCRÁTICA,MIN. MARCO AURÉLIO,2/7/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","Em 8/8/2019: ""(...) 3. Aciono o disposto no artigo 12 da Lei nº 9.868/1999. Providenciem as informações, a manifestação da Advocacia-Geral da União e o parecer da Procuradoria-Geral da República.

4. Publiquem.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUN2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE",Decisões,,,,,,,,
ADI,6186,ADI-6186,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5729009,MIN. GILMAR MENDES,MIN. GILMAR MENDES,MONOCRÁTICA,MIN. GILMAR MENDES,2/7/2019,Sim,,Decisão Interlocutória,Deferido,"""Trata-se de pedido formulado pela Federação de Sindicatos de Professores e Professoras de Instituições Federais de Ensino Superior e de Ensino Básico, Técnico e Tecnológico - PROIFES, Petição nº 75511/2019 (eDoc. 19), para que ingresse no feito na condição de amicus curiae. É o breve relatório. Decido. Considerando a relevância da matéria e a representatividade da postulante, defiro o pedido com base no art. 7º, §2º, da Lei 9868/99. À Secretária para que registre o nome da interessada e seus patronos. Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA /",Decisões,,,,,,,,
ADI,6186,ADI-6186,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5729415,MIN. GILMAR MENDES,MIN. GILMAR MENDES,MONOCRÁTICA,MIN. GILMAR MENDES,2/7/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","1) requisitem-se as informações definitivas, a serem prestadas no
prazo de 10 dias; 2) após, remetam-se os autos, sucessivamente, ao Advogado-Geral
da União e ao Procurador-Geral da República, para que se manifestem no
prazo de 5 dias. Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA /",Decisões,,,,,,,,
ADI,6187,ADI-6187,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5729415,MIN. RICARDO LEWANDOWSKI,MIN. RICARDO LEWANDOWSKI,MONOCRÁTICA,MIN. RICARDO LEWANDOWSKI,4/7/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99",,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO |RESPONSABILIDADE FISCAL2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORÇAMENTO",Decisões,,,,,,,,
ADI,6189,ADI-6189,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5730872,MIN. GILMAR MENDES,MIN. GILMAR MENDES,MONOCRÁTICA,MIN. GILMAR MENDES,4/7/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","""(...) determino:
1) requisitem-se as informações definitivas, a serem prestadas no
prazo de 10 dias;
2) após, remetam-se os autos, sucessivamente, ao Advogado-Geral
da União e ao Procurador-Geral da República, para que se manifestem no
prazo de 5 dias.
Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLÍTICOS | GOVERNADOR | REMUN,Decisões,,,,,,,,
ADI,6190,ADI-6190,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5731030,MIN. RICARDO LEWANDOWSKI,MIN. RICARDO LEWANDOWSKI,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,5/7/2019,Não,20/10/2020,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria, conheceu parcialmente da ação direta e, nessa parte, julgou parcialmente procedente o pedido para declarar a inconstitucionalidade das expressões ""energia elétrica e"" e ""energia elétrica ou"", constantes dos arts. 1°, caput, e 2°, caput, respectivamente, da Lei 1.233/2018 do Estado de Roraima, nos termos do voto do Relator, vencidos os Ministros Edson Fachin e Marco Aurélio. Não participou deste julgamento, por motivo de licença médica, o Ministro Celso de Mello. Plenário, Sessão Virtual de 11.9.2020 a 21.9.2020.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | CONCESSÃO / PERMISSÃO / AUT,Decisões,,,,,,,,
ADO,53,ADO-53,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5731387,MIN. ALEXANDRE DE MORAES,MIN. ALEXANDRE DE MORAES,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,10/7/2019,Não,17/3/2020,Decisão em recurso interno,Agravo regimental não provido,"Decisão: O Tribunal, por unanimidade, conheceu do agravo regimental e negou-lhe provimento, nos termos do voto do Relator. O Ministro Edson Fachin acompanhou o Relator com ressalvas. Plenário, Sessão Virtual de 20.9.2019 a 26.9.2019.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUN,Decisões,,,,,,,,
ADO,53,ADO-53,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5733656,MIN. ALEXANDRE DE MORAES,MIN. ALEXANDRE DE MORAES,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,10/7/2019,Não,17/3/2020,Decisão em recurso interno,Embargos rejeitados,"Decisão: O Tribunal, por unanimidade, rejeitou os embargos de declaração, nos termos do voto do Relator. Plenário, Sessão Virtual de 13.12.2019 a 19.12.2019.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUN,Decisões,,,,,,,,
ADO,53,ADO-53,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5733656,MIN. ALEXANDRE DE MORAES,MIN. ALEXANDRE DE MORAES,MONOCRÁTICA,MIN. ALEXANDRE DE MORAES,10/7/2019,Não,17/3/2020,Decisão Final,Extinto o processo,"""(...) Assim sendo, JULGO EXTINTO o processo, sem resolução de mérito, com base no art. 21, IX, do Regimento Interno do Supremo Tribunal Federal e no art. 485, I e VI, do Código de Processo Civil.
Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUN,Decisões,,,,,,,,
ADPF,600,ADPF-600,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5733656,MIN. ROBERTO BARROSO,MIN. ROBERTO BARROSO,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,10/7/2019,Não,1/10/2020,Decisão Final,Procedente,"Decisão: O Tribunal, por unanimidade, julgou procedente o pedido formulado na arguição de descumprimento de preceito fundamental para declarar a inconstitucionalidade formal e material da Emenda a? Lei Orgânica nº 55, de 14 de setembro de 2018, do Município de Londrina, uma vez que a norma compromete o acesso de crianças, adolescentes e jovens a conteúdos relevantes, pertinentes à sua vida íntima e social, em desrespeito à doutrina da proteção integral, nos termos do voto do Relator. Falaram: pela requerente, o Dr. Rafael dos Santos Kirchhoff; pelo amicus curiae Cidadania, Estudo, Pesquisa, Informação e Ação- CEPIA, a Dra. Leila de Andrade Linhares Barsted; pelo amicus curiae Associação Nacional de Juristas Evangélicos - ANAJURE, a Dra. Raíssa Paula Martins; e, pelo amicus curiae Associação Nacional das Defensoras e Defensores Públicos - ANADEP, o Dr. Luis Gustavo Grandinetti Castanho de Carvalho. Não participou deste julgamento, por motivo de licença médica, o Ministro Celso de Mello.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | ENSINO FUNDAMENTAL E MÉDIO2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | GARANTIAS CONSTITUCIONAIS",Decisões,,,,,,,,
ADPF,600,ADPF-600,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5733808,MIN. ROBERTO BARROSO,MIN. ROBERTO BARROSO,MONOCRÁTICA,MIN. ROBERTO BARROSO,10/7/2019,Não,1/10/2020,Decisão Interlocutória,Deferido,"Petição 19500/2020: deferido o ingresso conjunto no feito, a título de amicus curiae, da Ação Educativa, Assessoria, Pesquisa e Informação, da Associação Cidade Escola Aprendiz, ANPAE, CEDES e UNCME.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | ENSINO FUNDAMENTAL E MÉDIO2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | GARANTIAS CONSTITUCIONAIS",Decisões,,,,,,,,
ADPF,600,ADPF-600,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5733808,MIN. ROBERTO BARROSO,MIN. ROBERTO BARROSO,MONOCRÁTICA,MIN. ROBERTO BARROSO,10/7/2019,Não,1/10/2020,Decisão Interlocutória,Deferido,"Petição 32965/2020: Deferido o ingresso no feito, a título de amicus curiae, da ANADEP.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | ENSINO FUNDAMENTAL E MÉDIO2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | GARANTIAS CONSTITUCIONAIS",Decisões,,,,,,,,
ADPF,600,ADPF-600,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5733808,MIN. ROBERTO BARROSO,MIN. ROBERTO BARROSO,MONOCRÁTICA,MIN. ROBERTO BARROSO,10/7/2019,Não,1/10/2020,Decisão Interlocutória,Deferido,"Petição 35835/2020: Deferido o ingresso conjunto no feito, a título de amicus curiae, do CLADEM/BRASIL, THEMIS, CEPIA, IMP, CFEMEA e da Associação Tamo Juntas Assessoria Jurídica Gratuita para Mulheres Vítimas de Violência.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | ENSINO FUNDAMENTAL E MÉDIO2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | GARANTIAS CONSTITUCIONAIS",Decisões,,,,,,,,
